"","Depthm","T_degC","Salnty"
"292747",75,11.13,33.717
"775111",20,15.42,33.325
"570357",300,7.09,34.012
"279362",150,10.8,33.669
"282270",300,7.6,34.174
"838138",400,6.574,34.0882
"242740",146,11.1,34.33
"34301",125,10.68,33.075
"159007",8,13.94,33.18
"617551",30,18.47,33.342
"21783",50,13.62,32.564
"444960",300,7.34,34.04
"529973",526,5.22,34.195
"425815",100,10.65,34.42
"381218",150,10.4,33.6
"794695",700,4.62,34.318
"797278",141,9.23,34.016
"604037",110,12.82,33.675
"73285",900,4.25,34.491
"435132",125,14.25,34.48
"663140",200,8.72,34
"484203",900,4.56,34.48
"554469",100,10.68,33.61
"262",150,8.56,33.585
"343759",20,14.1,33.471
"372469",50,13.74,32.949
"457695",2000,2.06,34.622
"6643",250,7.42,34.1
"834173",516,5.449,34.2058
"773947",500,6.23,34.31
"425571",125,10.75,33.77
"345416",435,5.95,34.189
"671776",500,6.03,34.269
"752945",140,9.29,33.709
"34365",51,12.18,32.97
"822771",270,7.34,34.049
"179555",10,16.86,33.28
"415651",75,17.29,34.14
"793551",2,15.25,33.296
"190589",54,9.72,33.77
"162663",1235,3.32,34.57
"229237",500,5.69,34.244
"437646",125,9.47,33.784
"487390",200,9.39,34.11
"406681",125,10.36,33.604
"536840",100,11.07,33.177
"200036",1200,2.85,34.462
"599171",518,5.64,34.265
"733240",54,11.39,33.573
"668636",11,15.15,33.215
"483275",800,4.54,34.42
"231238",408,8.2,34.56
"765998",439,6.45,34.317
"494430",20,12.61,33.76
"134210",10,11.11,33.65
"751138",150,10.79,33.456
"284540",62,14.18,34.2
"412911",1,16.84,33.69
"455238",10,10.77,33.24
"665706",231,8.43,33.86
"613340",30,11.27,32.919
"534922",300,7.41,34.131
"565856",10,16.07,33.457
"699261",100,10.65,33.214
"469249",600,6.41,34.46
"333666",10,12.25,33.307
"452390",911,4.43,34.454
"191465",200,8.21,33.94
"778693",30,14.88,33.094
"849929",0,17.428,33.3172
"119",739,4.21,34.29
"290708",103,11.62,33.48
"261147",9,23.71,33.91
"591903",75,13.6,33.208
"863100",9,14.753,33.36
"838352",230,8.118,34.06
"26600",600,5.25,34.264
"833443",200,8.035,34.0247
"771419",99,9.79,33.79
"198851",250,7.74,34.27
"705977",138,9.9,33.515
"340272",642,4.91,34.342
"396847",58,15.14,33.378
"178399",150,9.67,33.596
"208044",37,20.94,34.33
"644232",300,8.1,34.201
"800847",10,14.97,33.122
"790269",100,9.49,33.982
"53106",250,7.93,33.95
"842589",200,8.132,33.9893
"411245",127,8.99,33.933
"376076",100,9.36,34.047
"116107",565,6.34,34.43
"553373",77,12.67,33.367
"482471",20,13.82,33.52
"608365",325,6.38,33.996
"173076",125,11.05,33.987
"487524",800,4.31,34.42
"674103",99,11.59,33.38
"661520",141,9.13,33.607
"265000",150,8.81,33.871
"122342",247,9.99,34.51
"291135",467,6.36,34.22
"339783",612,6.3,34.436
"664900",31,17.81,33.212
"794384",268,8.02,34.048
"812793",2,15.31,33.412
"535183",100,12.49,32.991
"514584",0,17.8,33.386
"187887",70,11.1,33.37
"805898",58,14.76,33.24
"710895",29,15.11,33.607
"222733",500,5.95,34.32
"478029",200,12.64,34.86
"695143",317,6.74,33.974
"644877",292,7.13,34.035
"206810",0,16.7,33.57
"22099",69,7.28,32.68
"377178",11,13,33.519
"437565",150,9.77,33.868
"210715",97,15.09,34.9
"204185",1600,2.75,34.635
"653370",200,8.72,34.019
"365617",20,14.8,33.573
"835379",515,5.834,34.2491
"298723",20,16.61,33.641
"351722",160,9.9,34.133
"375680",212,8.07,34.049
"801725",84,11.24,33.39
"704883",514,5.63,34.207
"853439",40,14.341,33.4101
"634745",384,6.47,34.143
"1014",30,13.84,33.409
"717789",65,15.59,33.32
"560239",277,8.06,33.995
"338475",400,6.72,34.308
"158631",10,12.87,33.847
"419753",20,11.75,32.54
"305978",75,10.95,33.617
"477291",200,13.01,35.06
"408425",400,6.52,34.23
"791472",318,7.13,34.19
"433838",1,19.31,33.74
"442464",1100,3.78,34.532
"643591",10,16.19,33.157
"627618",125,9.73,33.65
"52163",150,7.41,33.98
"394456",288,8.9,34.373
"742423",200,8.66,33.984
"863574",0,18.192,33.0803
"196146",50,15.29,33.416
"357553",172,9.02,33.905
"826346",0,14.23,33.291
"678375",104,16.01,33.477
"267457",79,13.8,33.46
"123710",800,4.91,34.416
"241812",50,14.67,33.77
"388603",10,20.42,34.08
"230520",30,15.97,33.625
"513413",119,10.41,33.755
"557974",236,8.15,34.022
"116695",91,11.11,33.82
"145122",100,9.83,33.76
"588463",30,11.31,33.611
"846593",100,9.714,33.71
"12676",700,4.92,34.374
"177805",414,7.68,34.46
"295529",30,24.49,34.406
"789952",512,6.01,34.331
"586514",207,8.96,34
"787540",2,12.86,33.613
"505921",30,18.83,33.95
"41252",1000,4.14,34.518
"212791",50,11.16,33.517
"192777",75,13.24,33.263
"638608",22,14.17,33.43
"840376",380,7.019,34.2352
"679269",150,8.69,33.682
"360221",1000,4.28,34.506
"38830",125,8.93,33.825
"313483",220,9.5,34.32
"573284",41,17.66,33.592
"331236",213,11.64,33.799
"792349",169,9.31,33.863
"705444",50,17.88,33.252
"762078",10,14.11,32.706
"198159",100,9.8,33.284
"315024",213,8.12,34.22
"646685",480,6.59,34.312
"366039",30,15.84,33.522
"752591",30,15.37,33.235
"762834",30,15.66,32.982
"434268",50,14.46,33.23
"224960",11,18.98,34.25
"566910",51,12.4,33.444
"575085",1,17.5,33.56
"664981",61,14.29,33.093
"719437",50,16.91,33.319
"710319",125,15.03,33.602
"600875",73,12.21,32.967
"571218",402,6.11,34.035
"811695",10,16.43,33.312
"416666",400,6.18,34.2
"512359",0,16.15,33.64
"14100",150,8.81,33.708
"418533",150,10.31,33.85
"193577",125,14.79,33.46
"111940",200,11.18,34.584
"631728",71,13.68,33.212
"180617",104,9.92,33.28
"677672",20,16.24,33.448
"707763",400,6.58,34.113
"762142",2,15.28,32.755
"39680",700,4.63,34.382
"243064",300,6.88,34.188
"557918",0,13.91,33.276
"642738",1,16.11,33.474
"732273",85,9.89,33.625
"681283",1400,3.1,34.545
"254140",100,13.34,33.678
"140174",49,11.9,33.27
"113106",246,9.42,34.29
"278072",95,12.72,33.31
"336225",400,8.41,34.444
"636280",61,11.05,33.304
"434811",10,17.41,33.45
"216924",112,8.3,33.99
"816125",140,8.75,33.892
"617386",157,11.02,33.654
"122431",400,8.12,34.426
"463468",1200,3.24,34.481
"610361",75,14.62,33.259
"713292",10,12.08,33.167
"725577",45,12.15,33.134
"327550",10,21.7,33.8
"570694",10,9.63,33.482
"423929",200,8.43,34.1
"448522",179,11.71,34.504
"745479",10,12.1,33.649
"143580",94,12.23,33.62
"11073",1600,2.32,34.589
"406731",30,16.3,33.55
"447394",494,5.39,34.231
"243065",312,6.78,34.2
"773433",10,17.37,33.434
"527626",75,10.63,33.7
"392640",499,6.3,34.254
"251882",200,11.26,34.52
"853796",85,10.334,33.452
"564491",0,16.12,33.48
"436386",75,9.44,33.77
"253801",125,9.98,33.5
"702293",61,11.74,33.59
"399626",75,12.44,33.417
"485359",250,9.94,34.414
"249419",50,11.47,33.342
"726696",45,14.65,33.611
"605125",204,8.23,33.989
"260758",400,7.99,34.41
"112605",53,14.4,33.4
"64699",75,12.67,33.947
"381702",75,10.01,33.86
"703492",108,9.53,33.88
"801940",119,9.67,33.854
"863748",121,9.862,33.5999
"547122",300,7.17,34.048
"804359",400,6.78,34.219
"416894",300,7.87,34.18
"280725",300,10.35,34.569
"527530",30,14.56,32.981
"302391",1,16.62,33.58
"685925",437,6.43,34.217
"315642",269,7.32,34.125
"718112",119,10.27,33.789
"734303",169,8.75,34.099
"571513",61,9.31,33.891
"862198",69,10.854,33.5208
"475054",200,14.99,35.29
"423333",0,14.91,33.23
"211418",75,13.89,34.322
"249714",140,8.76,34
"506143",125,8.63,33.9
"373503",89,10.37,33.75
"646674",155,9.5,34.033
"761033",2,16.12,33.024
"452711",200,9.36,34.102
"564535",101,11.04,33.597
"432349",125,10.64,34.02
"578773",209,8.79,34.036
"621735",120,10.54,33.62
"159130",500,5.36,34.26
"825408",300,7.9,34.245
"693437",30,12.83,33.528
"11486",900,3.55,34.331
"844487",141,9.718,33.397
"481165",10,13.65,33.52
"328820",3400,1.52,34.68
"450216",200,7.81,34.06
"601110",500,5.46,34.189
"211604",20,17.37,33.966
"400901",150,14.52,34.144
"312114",184,9.9,33.74
"709159",50,16.01,33.472
"482395",50,12.13,33.35
"609965",50,11.59,32.638
"457104",250,6.51,33.896
"344057",199,8.73,34.129
"715035",250,8.2,33.982
"123437",0,14.45,34.09
"789485",50,10.13,33.831
"423084",500,7.3,34.49
"248430",66,12.76,33.46
"28452",400,5.55,34.058
"834450",0,15.11,33.2805
"413882",30,12.23,33.306
"74272",99,10.86,33
"34363",30,12.61,32.97
"343545",3102,1.62,34.677
"331278",1,16,33.39
"244424",300,7.77,34.111
"485487",100,9.28,33.89
"399083",125,13.23,33.669
"554980",79,12.87,33.256
"312554",69,11.6,33.61
"231464",75,16.27,33.755
"303783",250,10.79,34.62
"789367",1,17.25,33.362
"190206",400,8.06,34.493
"22255",300,8.77,34.416
"39309",100,9.5,33.852
"864499",320,7.648,34.2253
"211088",10,21.66,34.88
"527101",250,8.14,34.018
"455743",0,12.88,33.46
"368797",411,7.94,34.424
"531831",558,5.57,34.301
"283411",248,8.02,33.99
"757370",2,15.67,33.101
"513459",500,6.35,34.285
"539312",80,16.45,33.484
"392392",250,7.98,34.086
"545573",200,8.17,33.919
"498476",891,4.26,34.406
"614611",0,12.03,33.302
"198374",65,9.46,33.83
"194728",300,7.19,34.106
"772391",20,18.11,33.108
"662648",93,13.33,32.96
"591560",400,6.98,34.147
"24409",300,7.74,33.976
"760511",150,10.21,33.839
"815579",300,7.05,34.118
"408664",250,7.77,34.108
"728553",0,14.27,33.52
"693838",100,14.14,33.435
"756647",150,9.88,34.17
"152696",63,9.86,33.79
"49771",25,14.54,33.51
"636997",72,12.2,33.057
"266293",72,11.32,33.08
"381321",100,15.97,34.072
"341587",505,5.73,34.151
"228010",122,13.21,34.78
"135675",65,10.48,33.4
"552427",200,8.75,33.984
"650611",400,5.99,34.081
"530721",150,8.44,34.104
"633864",11,16.91,33.548
"154537",50,10.06,33.45
"399848",400,7.42,34.367
"488276",500,7.09,34.43
"702577",74,14.03,33.11
"629013",550,5.79,34.273
"780982",300,8.79,34.301
"101318",30,19.4,34.111
"812460",202,9.19,33.802
"186472",600,5.62,34.453
"482322",20,15.49,33.55
"728618",10,14.89,33.619
"342062",610,5.66,34.368
"405845",500,7.2,34.43
"364166",600,5.92,34.415
"782011",2,17.75,33.29
"446105",1000,3.96,34.52
"195236",120,11.16,33.49
"249047",54,13.94,33.26
"522558",200,10.73,34.142
"394453",211,9.66,34.301
"727599",100,9.47,33.775
"856766",114,11.649,33.0841
"221417",20,15.83,33.522
"754669",125,9.71,34.132
"482854",550,5.77,34.29
"642438",528,5.8,34.321
"335386",484,6.16,34.168
"647707",0,19.71,33.586
"771845",318,7.43,34.232
"782345",102,10.57,33.62
"163299",30,10.02,33.744
"2802",1000,3.68,34.528
"175712",30,14.23,33.223
"691055",5,15.95,33.487
"406621",160,10.18,34.115
"256551",95,13.52,33.55
"640403",42,17.05,33.209
"208084",114,12.25,34.23
"767239",300,7.23,34.096
"459358",300,7.56,33.95
"573108",280,8.5,34.224
"318548",50,15.72,33.624
"396247",91,9.56,33.999
"222160",200,7.94,34.034
"836580",75,12.478,33.1303
"395394",500,5.65,34.27
"567307",125,13.74,33.574
"39909",421,5.86,34.22
"304985",495,6.32,34.29
"517175",109,11.8,33.693
"488430",175,9.35,33.97
"816856",0,17.34,33.541
"604679",229,8.03,34
"477271",20,16.88,35.33
"587714",20,13.79,33.446
"751254",14,16.1,33.227
"264",200,7.98,33.806
"303883",100,14.75,33.912
"25048",100,9.32,32.752
"619867",75,13.77,33.404
"11118",30,13.32,32.685
"499863",1000,4.04,34.5
"673548",20,14.95,33.311
"381054",10,12.08,33.04
"578594",48,14.38,33.538
"465540",100,10.73,33.53
"352770",100,16.43,34.202
"256775",94,9.06,33.93
"261598",53,21.88,34.14
"657513",148,9.03,34.01
"693084",170,8.26,33.89
"399977",40,16.1,33.527
"832993",271,7.347,34.0614
"349712",250,8.51,33.931
"388274",20,17.59,33.674
"245741",30,24.35,34.491
"572897",400,7.06,34.205
"734045",79,12.61,33.161
"329722",600,5.27,34.296
"273143",400,8.96,34.581
"600414",75,10.11,33.802
"648354",11,16.55,33.3
"810715",60,13.66,33.243
"198858",600,5.25,34.372
"133100",71,12.8,33.31
"281126",32,20.56,34.36
"722931",225,8.64,33.985
"423309",75,15,33.32
"420057",0,11.53,32.83
"841245",140,8.974,33.8936
"165394",125,11.94,34.052
"346584",220,9.95,34.253
"572573",125,15.58,33.842
"272945",20,24.17,34.619
"569149",500,5.89,34.152
"418487",400,6.86,34.27
"235933",97,9.1,33.84
"300041",609,4.84,34.28
"854538",250,8.498,34.0456
"836950",94,12.285,33.3493
"232042",53,18.4,34.16
"528000",11,16.64,33.113
"184790",55,17.46,33.44
"126069",248,7.74,33.98
"804214",201,9.09,34.227
"511049",30,14.82,33.57
"493339",400,6.73,34.236
"343866",194,8.99,33.871
"830152",250,8.01,34.23
"168091",50,18.7,34.135
"381132",20,13.75,32.822
"616739",100,10.75,33.377
"44132",20,11.3,33.49
"34088",900,4.05,34.414
"334174",400,6.2,34.198
"558099",125,11.1,33.545
"223343",300,9.81,34.586
"240533",20,18.16,33.649
"323398",300,7.16,33.996
"640359",52,14.18,33.269
"332339",0,16.95,33.874
"257119",39,11.25,33.4
"719521",400,6.48,34.121
"853084",580,6.31,34.3181
"694062",30,15.03,33.327
"720489",64,15.57,33.393
"136551",300,8.78,34.209
"692957",3,14.92,33.414
"261399",62,19.76,34.21
"657641",200,8.5,34.003
"250645",75,17.58,34.051
"495904",350,7.93,34.25
"128656",958,4.37,34.54
"140137",50,12.76,33.2
"167647",250,8.36,34.214
"604886",10,14.43,33.204
"846859",139,9.563,33.7696
"577368",41,12.53,33.628
"101279",1188,3.49,34.6
"801545",50,11.94,33.385
"215118",248,10.92,34.7
"236272",500,6.98,34.313
"331837",0,16.18,33.616
"190408",342,6.56,34.26
"155443",50,8.53,33.74
"487760",10,15.54,33.66
"725151",125,10.06,33.563
"438706",100,11.67,33.61
"823671",50,14.89,33.164
"442575",900,3.84,34.384
"226438",800,5.69,34.551
"659793",389,6.61,34.111
"386831",598,4.72,34.118
"135145",146,9.05,34.09
"238443",200,12.06,34.745
"41709",1221,3.46,34.54
"375234",268,8.02,34.249
"283756",250,8.17,34.112
"244994",105,13.44,33.78
"794458",0,15.59,33.277
"823384",500,7.36,34.327
"508681",0,12.1,33.61
"246280",96,15.8,34.38
"729494",519,5.84,34.319
"739148",68,9.7,33.846
"248116",237,8.14,34
"66248",200,7.9,34.038
"121849",441,6.69,34.23
"583221",10,12.36,33.472
"459271",0,11.31,32.93
"638274",119,9.06,33.8
"553158",100,12.41,33.476
"558071",168,8.92,33.863
"308150",71,15.32,33.63
"245041",30,18.12,34.01
"304871",236,8.67,34.14
"630390",40,12.41,33.719
"383705",100,12.15,34.09
"63768",144,12.56,34.52
"739541",300,7.13,34.086
"759086",2,19.44,33.006
"71285",204,8.62,33.84
"723488",140,8.96,34.129
"328526",0,13.34,33.704
"813774",20,16.95,33.183
"729283",69,10.72,33.755
"819547",515,5.89,34.222
"306236",500,6,34.278
"123027",0,15.92,33.28
"121447",1100,3.64,34.52
"532889",177,8.53,34.069
"562552",150,9.37,33.866
"468013",196,9.68,34.09
"666852",35,13.23,33.23
"246000",10,22.54,34.69
"487128",1000,3.95,34.48
"658717",62,15.11,33.288
"860430",380,6.826,34.1535
"277025",114,12.83,33.51
"118575",358,8.38,34.43
"168209",3,17.14,33.78
"264800",158,10.7,33.89
"365765",244,7.34,34.055
"47296",49,10.23,33.48
"238415",200,12.73,34.87
"743108",199,8.72,34.036
"849417",515,6.54,34.3079
"137364",10,14.26,32.99
"18923",86,14.45,33.55
"812767",150,9.91,33.733
"102808",50,16.1,33.37
"236724",20,17.94,33.475
"560138",26,14.05,33.09
"232300",169,9.35,33.94
"65131",0,14.7,33.33
"134734",100,10.07,33.852
"550076",280,8.49,34.235
"194292",2000,2.12,34.653
"626996",800,4.63,34.422
"288271",500,5.61,34.213
"190767",1000,3.84,34.391
"252377",78,16.78,33.87
"817593",10,13.08,32.755
"55713",500,5.31,34.143
"627437",30,16.93,33.235
"599737",75,17.97,33.444
"416643",30,11.78,33.26
"699578",121,10.56,33.8
"598079",21,15.33,33.223
"163595",30,16.71,33.01
"217769",135,8.9,34.14
"63608",152,13.24,34.69
"751039",227,8.51,34.001
"692490",400,6.28,34.179
"771176",125,9.79,33.354
"395066",552,6.78,34.451
"788496",300,7.38,34.111
"446966",50,9.92,33.588
"321881",89,11.4,33.7
"189769",65,11.56,33.5
"81620",10,17.52,33.716
"820137",170,8.49,33.843
"171693",300,7.81,34.156
"454046",300,6.78,34.006
"649411",52,13.66,33.324
"380480",250,8.22,34.189
"741638",437,6.79,34.224
"40082",75,11.18,33.24
"154408",100,13.04,33.279
"453758",85,16.86,34.035
"313155",250,7.8,34.113
"200150",600,4.49,34.181
"344183",250,7.88,34.114
"462805",250,11.09,34.73
"739570",141,9.14,33.973
"241121",174,9.56,34.1
"70965",20,13.6,33.277
"831289",400,6.194,34.1405
"28036",150,8.43,33.974
"204524",933,4.3,34.49
"34187",985,3.76,34.42
"759866",60,11.9,33.298
"556285",21,14.87,33.523
"92655",250,7.51,34.083
"843177",201,8.447,34.0129
"280195",464,7.94,34.38
"567179",199,9.42,33.879
"297104",141,12,33.6
"478620",104,16.33,35.072
"845895",53,16.688,33.4201
"222949",50,12.2,33.49
"126134",74,13.99,33.17
"141997",398,7.14,34.24
"295995",177,10.81,34.31
"334543",232,7.7,33.974
"808599",50,13,33.192
"219446",264,8.08,34.14
"706472",320,7.67,34.122
"402695",100,8.8,34.06
"188323",10,15,33.63
"632081",40,12.21,33.633
"643296",73,11.38,33.531
"571032",75,10.1,33.313
"295468",250,11.06,34.623
"470433",500,4.08,34.01
"682315",1,20.18,33.219
"597656",100,11.7,33.375
"266525",1028,3.64,34.46
"326346",20,17.9,33.607
"611493",180,9.12,33.927
"486455",350,7.34,34.23
"463833",381,6.29,34.118
"685485",164,12.56,33.737
"754490",200,9.2,34.134
"237117",158,8.79,33.75
"739624",28,11.74,33.731
"789969",125,9.77,33.705
"367580",150,9.64,33.662
"156361",25,14.28,33.57
"608974",90,9.31,33.161
"673309",231,7.99,33.875
"765999",500,6.21,34.332
"190511",76,10.07,33.74
"646518",125,10.13,34.032
"639017",300,7.36,34.075
"509736",264,8.73,34.199
"320097",500,6.31,34.341
"501530",900,3.93,34.46
"806437",20,14.69,33.398
"526970",132,9.96,33.294
"822520",200,8.95,33.902
"822390",75,9.58,33.837
"181174",483,6.73,34.32
"317766",50,10.65,32.756
"682821",40,12.93,33.254
"596456",68,16.34,33.563
"375349",200,8.73,34.151
"697273",250,8.03,33.948
"735780",0,17.38,33.61
"533167",248,7.69,34.045
"49449",286,7.14,34.3
"11508",286,6.04,33.95
"557564",100,11.65,33.447
"426504",511,6.84,34.42
"279349",20,17.22,33.726
"417454",500,6.97,34.387
"6046",250,6.65,34.013
"215494",203,11.02,34.66
"192008",45,15.24,33.53
"145911",1100,3.74,34.569
"125521",0,12.86,30.48
"220734",20,13.9,33.568
"427599",250,9.17,34.17
"834192",100,9.904,33.5014
"48929",1100,3.36,34.54
"578366",11,15.08,32.626
"171867",0,17.53,34.09
"123415",250,9.97,34.52
"81251",700,5.31,34.471
"52110",744,4.24,34.34
"430074",200,9.42,34.027
"406227",26,18.08,33.641
"791076",49,12.37,32.935
"645999",30,13.88,33.304
"367482",54,10.82,33.702
"186630",531,7.26,34.45
"806278",10,16.64,33.153
"178983",360,7.51,34.31
"289169",400,6.87,34.287
"331540",111,10.15,33.646
"469442",100,10.06,33.86
"510510",30,14.39,33.48
"334033",50,14.13,33.122
"843836",150,9.595,34.0791
"118250",125,12.74,33.837
"156507",200,10.26,34.211
"314347",11,18.44,34.06
"801212",2,12.78,33.463
"559915",300,6.98,33.995
"39828",700,4.95,34.419
"441781",30,19.15,33.58
"530630",500,5.65,34.203
"438151",30,14.85,33.38
"527780",490,6,34.241
"735495",55,18.13,33.407
"151652",261,7.51,34.05
"52429",10,17.98,32.54
"537206",125,9.9,33.924
"494496",125,8.58,34.11
"478466",114,15.4,35.039
"703407",374,7.74,34.292
"60029",250,8.06,34.12
"206050",63,11.76,33.48
"860839",30,15.148,33.348
"477917",10,28.31,35.309
"244855",419,8,34.39
"325661",610,5.43,34.39
"237484",125,9.01,33.882
"155179",700,4.68,34.392
"36843",20,13.57,33.24
"229378",402,6.76,34.34
"416901",50,12.42,33.31
"723784",30,14.41,33.462
"477140",1230,3.86,34.57
"566421",250,9,33.96
"232982",10,22.72,35.02
"741324",198,8.97,33.895
"15785",75,14.79,33.533
"608351",90,10.11,33.036
"513667",193,9.63,33.965
"543893",60,12.97,33.621
"652951",10,13.33,33.49
"1588",0,14.68,33.6
"85516",511,6.39,34.33
"433133",300,8.86,34.3
"725847",94,10.56,33.434
"470886",75,16.69,34.19
"485001",293,8.14,34.224
"688883",193,8.82,33.828
"475448",20,22.2,35.784
"766954",100,12.41,32.942
"35983",500,7.06,34.42
"274469",125,9.86,33.641
"326796",148,14.93,34.02
"71191",391,6.12,34.1
"778110",2,14.61,33.426
"359954",304,9.32,34.387
"704635",400,6.47,34.17
"587312",50,15.82,33.464
"250085",125,9.68,33.919
"572320",1,18.17,33.608
"73928",195,8.83,34.14
"219445",250,8.25,34.133
"185009",200,10.48,34.52
"253709",20,15.18,32.957
"192898",138,9.31,34.07
"550576",10,16.64,33.422
"225698",200,8.64,34.07
"611904",14,13.23,32.612
"450268",200,8.04,34.09
"334679",58,16.88,33.914
"607394",90,16.85,33.881
"369927",75,10.62,33.687
"53480",100,9.07,33.88
"308104",535,5.78,34.34
"466358",150,10.62,33.68
"469243",300,10.26,34.577
"38794",50,11.85,33.386
"241269",137,10.5,33.78
"722008",11,12.64,33.379
"641469",10,18.84,33.619
"373649",82,12.49,33.656
"846358",270,8.282,34.1989
"698050",110,11.9,33.497
"449782",150,8.63,33.83
"548429",225,8.67,34.061
"512361",20,15.9,33.63
"25907",20,19.63,33.867
"119241",75,11.84,32.913
"351820",50,13.16,33.634
"848446",500,5.821,34.2337
"163112",500,5.61,34.287
"296535",299,9.01,34.27
"220761",10,16.32,33.7
"609299",232,8.09,34.146
"328946",200,12.28,33.937
"309452",290,7.95,34.16
"364668",533,6.98,34.465
"541601",175,10.37,34.191
"477079",1000,4.66,34.543
"261193",150,11.13,33.972
"180937",655,4.5,34.35
"434489",300,7.57,34.11
"11614",146,7.1,33.46
"620101",60,11.21,33.602
"109589",146,9.75,33.84
"37898",25,15.35,33.39
"856737",202,8.592,33.8672
"699181",15,17.33,33.091
"828793",20,15.11,33.361
"351667",233,8.4,34.095
"413167",125,9.32,33.52
"314365",250,10.47,34.641
"620557",0,12.91,33.189
"203292",10,17.2,33.556
"857863",75,14.678,33.3948
"747078",119,9.87,33.607
"276450",411,7.05,34.25
"110827",300,8.3,34.197
"406616",100,11.16,33.757
"197483",90,10.74,32.93
"219260",300,9.62,34.636
"37097",64,10.95,33.55
"497307",200,8.28,34.09
"545292",0,10.08,33.955
"124376",300,8.59,34.234
"353204",601,5.06,34.329
"794318",199,8.39,34.009
"49472",212,7.7,34.04
"795159",169,9.52,33.72
"863263",0,17.698,33.0107
"512886",43,15,33.864
"15644",500,6.64,34.33
"590790",100,13.8,33.355
"496419",125,9.78,34.11
"109400",30,18.39,34.49
"479470",485,7.65,34.549
"782124",169,10.34,33.621
"189635",30,16.59,33.592
"654047",75,15.06,33.366
"384435",88,10.62,33.655
"206681",1224,3.6,34.59
"859343",20,16.356,33.2325
"425128",500,6.14,34.33
"183847",87,14.03,34.6
"834472",270,7.767,34.071
"496595",200,8.39,34.094
"520151",0,14.52,33.234
"40213",50,12.72,32.807
"529960",150,8.48,33.657
"698049",100,12.55,33.418
"494903",900,4.15,34.45
"845656",270,9.843,34.2783
"276984",11,16.2,33.56
"850384",250,8.156,34.0013
"403755",483,6.22,34.282
"674192",99,10.26,33.465
"456647",1450,2.53,34.557
"593292",50,12.42,33.33
"501355",225,8.13,34.17
"39208",900,4.07,34.467
"452931",54,15.2,33.637
"827193",200,8.65,33.87
"664116",100,13.68,33.141
"217533",232,7.76,34.02
"685916",197,8.68,33.938
"440301",500,6.44,34.35
"674058",59,10.85,33.508
"578761",57,11.91,33.557
"728154",70,11.25,33.693
"464172",1981,2.1,34.617
"202605",846,4.35,34.49
"521386",229,9.09,34.171
"261344",100,14.59,34.122
"314847",30,18.83,34.11
"434749",20,18.14,33.53
"521572",0,15.73,32.96
"605706",41,13.17,33.381
"593732",250,8.21,34.122
"774220",60,17.74,33.528
"567886",622,5.52,34.327
"188643",71,9.99,33.54
"568952",10,14.01,33.492
"663973",71,11.05,33.397
"307672",250,6.84,33.989
"175760",300,7.17,34.18
"31058",296,6.81,34.04
"14652",377,7.09,33.98
"337345",96,12.26,33.187
"601590",341,6.67,34.134
"52997",23,13.75,32.83
"750547",50,12.65,32.954
"307142",110,10.83,33.57
"37869",20,16.67,33.776
"287561",27,11.7,33.27
"521445",400,7.37,34.275
"48835",10,15.31,33.03
"144551",155,9.78,34.14
"141196",700,5.59,34.465
"448782",250,7.85,34.1
"324968",30,19.01,33.615
"448033",41,16.32,34.244
"107072",10,13.52,33.222
"431932",10,20.68,33.553
"250797",259,7.88,34.03
"719172",39,13.18,33.466
"625366",0,17.64,33.55
"455756",500,5.53,34.22
"264667",125,10.09,33.572
"825271",300,7.48,34.088
"290774",100,11.42,33.732
"656496",392,6.53,34.071
"861081",40,16.527,32.8965
"758080",100,9.8,34.008
"808615",271,8.73,34.211
"317140",75,10.96,32.842
"397073",125,9.49,33.8
"853082",500,6.89,34.2929
"490847",20,11.79,33.57
"728839",300,7.39,34.023
"151269",250,7.74,34.211
"499725",225,8.95,34.18
"463526",700,4.5,34.324
"584091",10,16.83,33.472
"753614",300,7.16,34.103
"627330",75,11.67,33.176
"126625",146,8.8,34.05
"281387",31,10.65,33.6
"176120",46,15.47,33.19
"285901",200,9.15,33.841
"799122",115,11.55,33.098
"707409",144,9.35,33.738
"692704",111,11.08,33.469
"450454",10,12.93,33.46
"253767",66,14.22,33.3
"200395",250,9.56,34.41
"333960",36,14.9,33.384
"326913",30,21.21,33.96
"456530",1129,2.87,34.408
"393083",28,15.58,33.366
"779205",511,6.03,34.284
"267026",359,6.58,34.17
"620174",75,10.19,33.755
"630263",700,5.33,34.389
"402627",10,14.21,33.1
"695110",435,6.04,34.091
"646843",10,14.95,33.37
"198395",650,4.98,34.44
"621011",400,6.41,34.128
"454094",31,11.96,33.387
"323548",249,7.73,34.017
"38059",9,15,33.58
"24734",143,9.08,33.6
"682939",200,8.05,33.908
"237626",75,9.4,33.794
"359745",50,16.82,34.059
"357770",200,8.43,34.034
"183975",0,20.62,33.58
"402676",200,7.91,34.071
"832448",0,17.663,33.5544
"211179",79,13.44,34.11
"845435",50,16.038,33.3765
"816387",400,6.93,34.268
"170431",30,18.59,34.645
"237989",10,22.14,33.7
"705432",376,6.57,34.082
"133769",50,10.85,33.311
"770506",318,7.77,34.178
"349163",250,8.06,34.158
"351976",0,18.3,33.676
"139971",300,7.91,34.178
"508128",143,9.81,33.82
"385212",537,6.14,34.342
"292745",51,13.76,33.59
"375743",1824,2.26,34.611
"609171",35,12.74,32.652
"539067",41,17.69,33.277
"443196",10,11.44,33.54
